x, y
1707.8260869565217, -0.08264462809917356
1735.2173913043478, 0
1769.7826086956522, 0
1801.086956521739, 0.24793388429752067
1827.8260869565217, 0.49586776859504134
1862.391304347826, 0.9090909090909092
1900.2173913043478, 2.1487603305785123
1923.695652173913, 4.132231404958678
1939.3478260869565, 5.950413223140496
1949.7826086956522, 7.851239669421488
1959.5652173913045, 10.413223140495868
1975.2173913043478, 13.553719008264464
1989.5652173913045, 16.280991735537192
2000, 17.68595041322314
2009.7826086956522, 20.082644628099175
2019.5652173913045, 20.826446280991735
