"year" "GDPpercap" "Tourists" "Temp" "global_means_urban" "global_means_past" "global_means_crop" "pop_global" "migration" "shipcalls" "import"
2001 9845.29327199572 301.233735 4.93518856763842 0.00892218309859155 0.145540492957746 0.110335563380282 NA 1400 3788 4.32556998934893
2002 6557.74 306.988869 4.9520987518132 0.00904154929577465 0.145404929577465 0.110399295774648 NA 1441 4288 4.30745393305405
2003 NA 296.729897 4.88139466419818 0.00915950704225352 0.145268309859155 0.110459507042254 NA 1383 4245 4.65081246313049
2004 NA 319.921723 4.89223009012642 0.00927676056338028 0.145135211267606 0.110520774647887 NA 1539 4266 5.06483204071178
2005 NA 338.281632 4.78131647631528 0.0093943661971831 0.145 0.110582394366197 6.39895947007525 1686 5253 5.78788957790307
2006 NA 360.48873 5.01419999115171 NA NA NA NA 1789 4957 6.56743300937121
2007 NA 355.264667 4.91963638588788 NA NA NA NA 2024 4890 6.9605260174877
2008 NA 354.824821 5.04551834836604 NA NA NA NA 2135 5670 8.77297217482422
2009 NA 339.153367 4.78462105281653 NA NA NA NA 2083 6029 7.96801182061355
2010 NA 407.878496 4.77908129841092 NA NA NA NA 1755 7545 9.39526556464745
2011 NA 463.326022 NA NA NA NA NA 1587 11135 10.7913448803233
2012 NA 489.991974 NA NA NA NA NA 735 11622 11.0342909931221
2013 NA 508.849066 NA NA NA NA NA NA 12590 11.2628293202999
2014 NA 534.477856 NA NA NA NA NA NA 12753 10.8095855128389
2015 NA 522.695354 NA NA NA NA NA NA NA NA
2016 NA 554.422103 NA NA NA NA NA NA NA NA
