Taxon,Region,FirstRecord
Diaspis barrancorum,Europe and Central Asia,1952
Diaspis boisduvalii,Asia and the Pacific,1960
Diaspis boisduvalii,Europe and Central Asia,1868
Diaspis bromeliae,Asia and the Pacific,1933
Diaspis bromeliae,Europe and Central Asia,1900
Diaspis coccois,Europe and Central Asia,1970
Diaspis divonis,Europe and Central Asia,1952
Diaspis echinocacti,Europe and Central Asia,1827
Diastema tigris,Africa,1967
Diatraea saccharalis,Americas,1855
Dibrachys microgastri,Asia and the Pacific,1995
Dicarpella dryina,Asia and the Pacific,1982
Dicentra eximia,Europe and Central Asia,1912
Dicentra formosa,Asia and the Pacific,2004
Dicentra formosa,Europe and Central Asia,1888
Dicentrarchus labrax,Europe and Central Asia,1967
Dichanthelium clandestinum,Europe and Central Asia,2012
Dichanthium annulatum,Americas,1922
Dichanthium annulatum,Asia and the Pacific,1905
Dichanthium annulatum,Europe and Central Asia,1916
Dichanthium aristatum,Americas,1911
Dichanthium aristatum,Asia and the Pacific,1918
Dichanthium caricosum,Asia and the Pacific,1981
Dichanthium sericeum,Americas,1912
Dichelachne crinita,Asia and the Pacific,1975
Dichelachne parva,Asia and the Pacific,1984
Dichelachne rara,Asia and the Pacific,1878
Dichelachne sieberiana,Asia and the Pacific,1944
Dichelia cedricola,Europe and Central Asia,2001
Dichomeris ligulella,Americas,1900
Dichomeris marginella,Americas,1910
Dichondra argentea,Europe and Central Asia,2017
Dichondra micrantha,Africa,1945
Dichondra micrantha,Americas,1946
Dichondra micrantha,Asia and the Pacific,1978
Dichondra micrantha,Europe and Central Asia,1868
Dichondra repens,Americas,1967
Dichondra repens,Asia and the Pacific,1999
Dichorisandra thyrsiflora,Asia and the Pacific,1969
Dichrocephala integrifolia,Asia and the Pacific,1918
Dichrocephala integrifolia,Europe and Central Asia,1850
Dichromothrips corbetti,Europe and Central Asia,1988
Dichromothrips phalaenopsidis,Europe and Central Asia,1975
Dichrooscytus gustavi,Europe and Central Asia,2002
Dichrooscytus rufipennis,Americas,1920
Dichrostachys cinerea,Americas,1998
Dichrostachys cinerea,Asia and the Pacific,1960
Dicksonia anarctica,Europe and Central Asia,1960
Dicksonia antarctica,Africa,2009
Dicksonia antarctica,Europe and Central Asia,1850
Dicksonia antartica,Asia and the Pacific,1880
Dicksonia fibrosia,Americas,2006
Dicksonia fibrosia,Asia and the Pacific,1969
Dicksonia squarrosa,Asia and the Pacific,1880
Dicksonia youngiae,Asia and the Pacific,1880
Dicladocerus japonicus,Americas,1970
Dicliptera chinensis,Americas,1942
Dicliptera raui,Asia and the Pacific,1999
Dicologlossa hexophthalma,Europe and Central Asia,1977
Dicraeus tibialis,Asia and the Pacific,1960
Dicranoctetes saccharella,Americas,1982
Dicranolasma scabrum,Europe and Central Asia,1959
Dicranoloma menziesii,Europe and Central Asia,2008
Dicranopalpus ramosus,Europe and Central Asia,2002
Dicranopteris linearis,Americas,1904
Dicranopteris linearis,Asia and the Pacific,2010
Dicranosterna sempipunctata,Asia and the Pacific,1996
Dicrodiplosis pseudococci,Europe and Central Asia,1914
Dicroerisma psilonereiella,Europe and Central Asia,1997
Dicrurus macrocercus,Asia and the Pacific,1935
Dictamnus albus,Americas,1985
Dictyla echii,Americas,1959
Dictyocaulus filaria,Europe and Central Asia,1950
Dictyocephalos attenuatus,Europe and Central Asia,1989
Dictyonota fuliginosa,Americas,1987
Dictyosperma album,Asia and the Pacific,1912
Dictyota cyanoloma,Europe and Central Asia,1935
Dictyota dichotoma,Europe and Central Asia,1854
Dictyota flabellata,Americas,1999
Dictyota furcellata,Asia and the Pacific,2002
Dictyothrips betae,Europe and Central Asia,1895
Dictyotus caenosus,Asia and the Pacific,1921
Dicyathifer mannii,Africa,1964
Didelphis marsupialis,Americas,-5000
Didelphis marsupialis,Europe and Central Asia,1959
Didelphis virginiana,Americas,1907
Didemnum candidum,Americas,1930
Didemnum lahillei,Americas,1988
Didemnum lahillei,Europe and Central Asia,1991
Didemnum perlucidum,Americas,1998
Didemnum psammatodes,Americas,1985
Didemnum psammatodes,Asia and the Pacific,1979
Didemnum species,Europe and Central Asia,2005
Didemnum vexillum,Americas,1982
Didemnum vexillum,Asia and the Pacific,2001
Didemnum vexillum,Europe and Central Asia,1939
Didemnun granulatum,Africa,2001
Didemnun psammathodes,Africa,2001
Didemnun rodriguesi,Africa,2001
Didymascella thujina,Europe and Central Asia,1900
Didymocantha obliqua,Asia and the Pacific,1960
Didymodon australasiae,Europe and Central Asia,1977
Didymosphenia geminatum,Americas,1964
Didymosphenia geminatum,Asia and the Pacific,2004
Dieffenbachia seguine,Americas,1985
Dieffenbachia seguine,Asia and the Pacific,1888
Dielis dorsata,Americas,1937
Dienerella argus,Europe and Central Asia,1907
Dienerella costulata,Europe and Central Asia,1800
Dienerella filum,Americas,1985
Dienerella filum,Asia and the Pacific,1978
Dienerella filum,Europe and Central Asia,1850
Dienerella ruficollis,Asia and the Pacific,1979
Dierama pendulum,Asia and the Pacific,1910
Dierama pulcherrimum,Asia and the Pacific,2001
Diervilla lonicera,Europe and Central Asia,1925
Diestota guadalupensis,Europe and Central Asia,1982
Diestrammena asynamora,Americas,1909
Diestrammena asynamora,Europe and Central Asia,1891
Dietes bicolor,Asia and the Pacific,1976
Dietes iridioides,Americas,2011
Dietes iridioides,Asia and the Pacific,2015
Dieuches notatus,Asia and the Pacific,1958
Digera muricata,Asia and the Pacific,1832
Digitalis grandiflora,Americas,1837
Digitalis grandiflora,Europe and Central Asia,1791
Digitalis lanata,Europe and Central Asia,1888
Digitalis lutea,Americas,1942
Digitalis lutea,Asia and the Pacific,1940
Digitalis lutea,Europe and Central Asia,1876
Digitalis purpurea,Americas,1846
Digitalis purpurea,Asia and the Pacific,1867
Digitalis purpurea,Europe and Central Asia,1790
Digitaria abyssinica,Asia and the Pacific,1983
Digitaria abyssinica,Europe and Central Asia,1947
Digitaria aequiglumis,Americas,1896
Digitaria aequiglumis,Asia and the Pacific,1905
Digitaria aequiglumis,Europe and Central Asia,1911
Digitaria bicornis,Americas,1890
Digitaria bicornis,Asia and the Pacific,1980
Digitaria brownii,Europe and Central Asia,1828
Digitaria californica,Americas,1880
Digitaria ciliaris,Americas,1885
Digitaria ciliaris,Asia and the Pacific,1884
Digitaria ciliaris,Europe and Central Asia,1838
Digitaria cognata,Americas,1905
Digitaria debilis,Europe and Central Asia,1979
Digitaria didactyla,Asia and the Pacific,1909
Digitaria diffusa,Asia and the Pacific,1964
Digitaria eriantha,Americas,1938
Digitaria eriantha,Asia and the Pacific,1933
Digitaria filiformis,Americas,1886
Digitaria fuscescens,Americas,1852
Digitaria horizontalis,Americas,1964
Digitaria insularis,Africa,1976
Digitaria insularis,Americas,1885
Digitaria ischaemum,Americas,1898
Digitaria ischaemum,Asia and the Pacific,1869
Digitaria ischaemum,Europe and Central Asia,1805
Digitaria leucites,Americas,1896
Digitaria longiflora,Americas,1916
Digitaria milanjiana,Americas,1979
Digitaria milanjiana,Asia and the Pacific,1988
Digitaria natalensis,Asia and the Pacific,1996
Digitaria nuda,Americas,1890
Digitaria sanguinalis,Americas,1864
Digitaria sanguinalis,Asia and the Pacific,1843
Digitaria sanguinalis,Europe and Central Asia,1690
Digitaria setigera,Americas,1826
Digitaria setigera,Asia and the Pacific,1887
Digitaria ternata,Americas,1953
Digitaria ternata,Asia and the Pacific,1950
Digitaria velutina,Americas,1938
Digitaria violascens,Africa,1964
Digitaria violascens,Americas,1916
Digitaria violascens,Asia and the Pacific,1847
Digitaria violascens,Europe and Central Asia,1911
Digitonthophagus gazella,Americas,1973
Diglyphus begini,Europe and Central Asia,1988
Diglyphus isaea,Asia and the Pacific,1975
Dikerogammarus bispinosus,Europe and Central Asia,1998
Dikerogammarus haemobaphes,Europe and Central Asia,1955
Dikerogammarus villosus,Europe and Central Asia,1955
Dilatata dilatata,Europe and Central Asia,1860
Dillenia indica,Africa,1996
Dillenia indica,Americas,1964
Dillenia suffruticosa,Asia and the Pacific,1882
Dillwynia acicularis,Asia and the Pacific,1898
Dillwynia retorta,Asia and the Pacific,1898
Dillwynia rudis,Asia and the Pacific,1960
Dimorphotheca ecklonis,Americas,1959
Dimorphotheca ecklonis,Asia and the Pacific,1903
Dimorphotheca fruticosa,Americas,1961
Dimorphotheca fruticosa,Asia and the Pacific,1996
Dimorphotheca jucunda,Asia and the Pacific,1976
Dimorphotheca jucunda,Europe and Central Asia,1989
Dimorphotheca pluvialis,Asia and the Pacific,1906
Dimorphotheca pluvialis,Europe and Central Asia,1895
Dimorphotheca sinuata,Americas,1938
Dimorphotheca sinuata,Asia and the Pacific,1942
Dinebra retroflexa,Asia and the Pacific,1867
Dinebra retroflexa,Europe and Central Asia,1831
Dinocampus coccinellae,Asia and the Pacific,1921
Dinoderus bifoveolatus,Europe and Central Asia,1957
Dinoderus japonicus,Europe and Central Asia,2012
Dinoderus minutus,Americas,1985
Dinoderus minutus,Asia and the Pacific,1915
Dinoderus minutus,Europe and Central Asia,1909
Dinoderus ocellaris,Europe and Central Asia,2005
Dinophysis acuminata,Africa,1991
Dinophysis caudata,Asia and the Pacific,2003
Dinophysis caudata,Europe and Central Asia,2019
Dinophysis islandica,Europe and Central Asia,2001
Dinophysis nasuta,Europe and Central Asia,2008
Dinophysis odiosa,Europe and Central Asia,2001
Dinophysis recurva,Europe and Central Asia,2001
Dinophysis schilleri,Europe and Central Asia,2001
Dinurothrips vezenyii,Americas,1974
Diocalandra frumenti,Asia and the Pacific,1955
Diocalandra frumenti,Europe and Central Asia,1998
Dioclea hexandra,Asia and the Pacific,1929
Dioclea reflexa,Americas,1972
Diodia virginiana,Asia and the Pacific,1986
Diodon eydouxii,Europe and Central Asia,1975
Diodon hystrix,Europe and Central Asia,1961
Diodora funiculata,Europe and Central Asia,1998
Diodora ruppellii,Africa,2003
Diodora ruppellii,Americas,1962
Diodora ruppellii,Europe and Central Asia,1939
Dioithona oculata,Europe and Central Asia,2013
Diomus pumilio,Americas,1892
Diomus subclarus,Asia and the Pacific,2005
Diopatra hupferiana,Europe and Central Asia,1991
Diopatra marocensis,Europe and Central Asia,2005
Diorhabda carinulata,Americas,2001
Dioryctria schuetzeella,Europe and Central Asia,1980
Dioryctria sylvestrella,Europe and Central Asia,1999
Dioscorea alata,Americas,1883
Dioscorea alata,Asia and the Pacific,1917
Dioscorea bulbifera,Americas,1000
Dioscorea cayennensis,Americas,1883
Dioscorea communis,Asia and the Pacific,1970
Dioscorea communis,Europe and Central Asia,1866
Dioscorea dodecaneura,Asia and the Pacific,1888
Dioscorea esculenta,Asia and the Pacific,2013
Dioscorea pentaphylla,Americas,1000
Dioscorea trifida,Americas,1924
Diosma ericoides,Asia and the Pacific,1843
Diospyros digyna,Africa,1788
Diospyros discolor,Americas,1903
Diospyros kaki,Africa,1825
Diospyros kaki,Asia and the Pacific,1843
Diospyros laurina,Asia and the Pacific,1843
Diospyros lotus,Asia and the Pacific,1843
Diospyros lotus,Europe and Central Asia,1550
Diospyros villosa,Asia and the Pacific,1843
Diospyros virginiana,Asia and the Pacific,2013
Diospyros whyteana,Asia and the Pacific,1906
Dioxyna sororcula,Asia and the Pacific,1995
Diphasia digitalis,Europe and Central Asia,2004
Diphyllobothrium latum,Europe and Central Asia,1945
Diplachne fusca,Americas,1968
Diplachne fusca,Europe and Central Asia,2000
Diplacus puniceus,Asia and the Pacific,1843
Diplazium australe,Asia and the Pacific,1880
Diplazium esculentum,Africa,2010
Diplazium esculentum,Americas,1910
Diplazium esculentum,Asia and the Pacific,1994
Diplazium esculentum,Europe and Central Asia,1903
Diplazium proliferum,Americas,2000
Diplazium thwaitesii,Asia and the Pacific,1898
Diplazon laetatorius,Americas,1985
Diplazon laetatorius,Asia and the Pacific,1878
Diplocephalus cristatus,Americas,1935
Diplocephalus cristatus,Asia and the Pacific,1988
Diplocirrus stopbowitzi,Europe and Central Asia,2009
Diploderma polygonatum,Asia and the Pacific,1985
Diploderma swinhonis,Asia and the Pacific,2006
Diplodia africana,Asia and the Pacific,2010
Diplodia alatafructa,Asia and the Pacific,2017
Diplodia mutila,Asia and the Pacific,1912
Diplodia scrobiculata,Asia and the Pacific,2018
Diplodia seriata,Asia and the Pacific,1897
Diploglottis cunninghamii,Asia and the Pacific,1843
Diplolepis rosae,Asia and the Pacific,2012
Diplomitoporus flavescens,Europe and Central Asia,1903
Diplopappus filifolius,Asia and the Pacific,1888
Diplopsalopsis orbicularis,Europe and Central Asia,2004
Diplopseustis perieresalis,Europe and Central Asia,2000
Diploptera punctata,Americas,1882
Diplopterygium glaucum,Asia and the Pacific,2010
Diplosoma listerianum,Africa,1949
Diplosoma listerianum,Americas,1880
Diplosoma listerianum,Europe and Central Asia,1850
Diplotaxis acris,Europe and Central Asia,1947
Diplotaxis catholica,Europe and Central Asia,1895
Diplotaxis erucoides,Americas,1904
Diplotaxis erucoides,Europe and Central Asia,1895
Diplotaxis muralis,Americas,1902
Diplotaxis muralis,Asia and the Pacific,1890
Diplotaxis muralis,Europe and Central Asia,1760
Diplotaxis tenuifolia,Americas,1893
Diplotaxis tenuifolia,Asia and the Pacific,1907
Diplotaxis tenuifolia,Europe and Central Asia,1597
Diplotaxis viminea,Europe and Central Asia,1813
Diplotaxis virgata,Europe and Central Asia,1892
Diplothamnion jolyi,Africa,2012
Diplozoon paradoxum,Europe and Central Asia,1951
Dipodomys ordii,Americas,1956
Dipogon lignosus,Americas,1955
Dipogon lignosus,Asia and the Pacific,1853
Dipolydora quadrilobata,Europe and Central Asia,1997
Diprion similis,Americas,1914
Dipsacus fullonum x sativus,Europe and Central Asia,1945
Dipsacus laciniatus,Americas,1930
Dipsacus laciniatus,Europe and Central Asia,1726
Dipsacus pilosus,Europe and Central Asia,1915
Dipsacus sativus,Americas,1848
Dipsacus sativus,Europe and Central Asia,1762
Dipsacus strigosus,Europe and Central Asia,1823
Dipsacus sylvestris,Americas,2005
Dipsacus sylvestris,Asia and the Pacific,1878
Dipsacus x pseudosilvester,Europe and Central Asia,1992
Dirhinus giffardii,Europe and Central Asia,1912
Dirrhagofarsus lewisi,Americas,1976
Disa bracteata,Asia and the Pacific,1946
Disakisperma dubia,Europe and Central Asia,1880
Disakisperma dubium,Americas,1885
Discinisca tenuis,Africa,2008
Disclisioprocta stellata,Americas,1923
Discochiton expansum,Asia and the Pacific,1916
Discochora pini,Asia and the Pacific,1991
Discoglossus pictus,Europe and Central Asia,1809
Discosia strobilina,Asia and the Pacific,1987
Discosoma nummiforme,Americas,1997
Discula destructiva,Americas,1975
Discula destructiva,Europe and Central Asia,2006
Discus rotundatus,Africa,1986
Discus rotundatus,Europe and Central Asia,1962
Disocactus flagelliformis,Americas,2002
Disphyma clavellatum,Asia and the Pacific,1984
Disphyma crassifolium,Europe and Central Asia,1936
Dispio magna,Europe and Central Asia,1982
Distaplia bermudensis,Europe and Central Asia,1953
Distaplia corolla,Europe and Central Asia,1971
Distichlis spicata,Americas,1854
Distimake dissectus,Africa,1931
Distimake dissectus,Asia and the Pacific,1909
Ditrichophora flavitarsis,Asia and the Pacific,1922
Dittrichia graveolens,Americas,1984
Dittrichia graveolens,Asia and the Pacific,1876
Dittrichia graveolens,Europe and Central Asia,1895
Dittrichia viscosa,Americas,1913
Dittrichia viscosa,Europe and Central Asia,1876
Ditula angustiorana,Americas,1924
Ditylenchus destructor,Asia and the Pacific,1937
Ditylenchus destructor,Europe and Central Asia,1888
Ditylenchus dipsaci,Asia and the Pacific,1955
Diuca diuca,Americas,1928
Diuraphis noxia,Africa,1978
Diuraphis noxia,Americas,1986
Divalinga arabica,Africa,1956
Divalinga arabica,Europe and Central Asia,1976
Diversinervus cervantesi,Europe and Central Asia,1982
Diversinervus elegans,Americas,1953
Diversinervus elegans,Europe and Central Asia,1977
Dixenes taylori,Europe and Central Asia,1952
Dizygotheca vieillardi,Asia and the Pacific,1888
Dociostaurus tartarus,Europe and Central Asia,1962
Dodecaceria capensis,Europe and Central Asia,1975
Dodecaceria fewkesi,Africa,2007
Dodecastichus inflatus,Europe and Central Asia,1995
Dodecastichus mastix,Europe and Central Asia,1995
Dodonaea hackettiana,Asia and the Pacific,1912
Dodonaea triquetra,Asia and the Pacific,1898
Dodonaea viscosa,Americas,2011
Dodonaea viscosa,Asia and the Pacific,2005
Dodonaea viscosa,Europe and Central Asia,1901
Dohrniphora cornuta,Americas,1925
Dohrniphora cornuta,Asia and the Pacific,1968
Dohrniphora cornuta,Europe and Central Asia,1937
Dohrniphora papuana,Europe and Central Asia,2004
Dohrnophora cornuta,Americas,1925
Doirania leefmansi,Asia and the Pacific,1926
Dolerocypris sinensis,Europe and Central Asia,1986
Doleromyrma darwiniana,Asia and the Pacific,1959
Dolichandra unguis-cati,Africa,1927
Dolichandra unguis-cati,Asia and the Pacific,1840
Dolichandra unguis-cati,Europe and Central Asia,1934
Dolichoplana fieldeni,Europe and Central Asia,1992
Dolichoplana striata,Europe and Central Asia,1900
Dolichopus exsul,Americas,1930
Dolichos lignosus,Americas,1955
Dolichos lignosus,Asia and the Pacific,1843
Dolichothrips indicus,Americas,1999
Dolichovespula norwegica,Europe and Central Asia,1982
Dolomiaea costus,Asia and the Pacific,1996
Dombeya burgessiae,Asia and the Pacific,1888
Dombeya mollis,Asia and the Pacific,1888
Dombeya tiliacea,Asia and the Pacific,1888
Donaceus nigronotatus,Americas,1958
Doodia caudata,Africa,1895
Doodia caudata,Europe and Central Asia,1953
Doodia kunthiana,Americas,1950
Dopatrium junceum,Americas,1944
Dopatrium junceum,Asia and the Pacific,1918
Dorippe quadridens,Europe and Central Asia,2004
Dormitator latifrons,Americas,1992
Doronicum columnae,Europe and Central Asia,1867
Doronicum columnae x pardalianches x plantagineum,Europe and Central Asia,1916
Doronicum excelsum,Europe and Central Asia,1824
Doronicum macrophyllum,Europe and Central Asia,1965
Doronicum orientale,Europe and Central Asia,1700
Doronicum pardalianches,Americas,2013
Doronicum pardalianches,Europe and Central Asia,1600
Doronicum pardalianches x plantagineum,Europe and Central Asia,1800
Doronicum plantagineum,Americas,1984
Doronicum plantagineum,Europe and Central Asia,1694
Dorosoma cepedianum,Americas,1950
Dorosoma petenense,Americas,1958
Dorvillea similis,Europe and Central Asia,2005
Doryanthes excelsa,Asia and the Pacific,1845
Doryanthes palmeri,Asia and the Pacific,1888
Doryctobracon areolatus,Americas,1969
Doryphora sassafras,Asia and the Pacific,1843
Dorypteryx domestica,Americas,2016
Dorypteryx domestica,Europe and Central Asia,1973
Dorypteryx longipennis,Asia and the Pacific,2009
Dorypteryx longipennis,Europe and Central Asia,1988
Dorypteryx pallida,Europe and Central Asia,1907
Dosinia erythraea,Africa,1905
Dothistroma septosporum,Asia and the Pacific,1974
Dothistroma septosporum,Europe and Central Asia,1989
Dovyalis caffra,Asia and the Pacific,1888
Downingia elegans,Europe and Central Asia,1994
Draba aizoides,Europe and Central Asia,1828
Draba brachycarpa,Americas,1887
Draba muralis,Europe and Central Asia,1866
Draba nemorosa,Americas,1879
Draba nemorosa,Europe and Central Asia,1753
Draba sibirica,Europe and Central Asia,1803
Draba verna,Americas,1865
Dracaena angustifolia,Americas,2002
Dracaena angustifolia,Asia and the Pacific,2003
Dracaena draco,Asia and the Pacific,1888
Dracaena draco,Europe and Central Asia,1772
Dracaena fragrans,Americas,1923
Dracaena fragrans,Asia and the Pacific,1888
Dracaena goldieana,Asia and the Pacific,1906
Dracaena marginata,Americas,2002
Dracaena marginata,Asia and the Pacific,1888
Dracaena sanderiana,Asia and the Pacific,1920
Dracaena surculosa,Asia and the Pacific,1920
Dracocephalum moldavica,Asia and the Pacific,1941
Dracocephalum moldavicum,Europe and Central Asia,1867
Dracocephalum parviflorum,Americas,1884
Dracocephalum parviflorum,Europe and Central Asia,1870
Dracocephalum tanguticum,Asia and the Pacific,2011
Dracocephalum thymiflorum,Americas,1969
Dracocephalum thymiflorum,Europe and Central Asia,1779
Dracophyllum secundum,Asia and the Pacific,1906
Dracunculus vulgaris,Americas,1986
Dracunculus vulgaris,Asia and the Pacific,1965
Dracunculus vulgaris,Europe and Central Asia,1855
Draeculacephala mollipes,Americas,1934
Drassodes serratichelis,Americas,1976
Dreissena polymorpha,Americas,1619
Dreissena polymorpha,Europe and Central Asia,1794
Dreissena rostriformis,Americas,1991
Dreissena rostriformis,Europe and Central Asia,1941
Drepanacra binocula,Asia and the Pacific,1919
Drepanaphis acerifoliae,Europe and Central Asia,1992
Drepanocladus polygamus,Americas,1974
Drepanopeziza castagnei,Asia and the Pacific,1984
Drepanopeziza punctiformis,Asia and the Pacific,1987
Drepanopeziza punctiformis,Europe and Central Asia,1960
Drepanopeziza sphaerioides,Asia and the Pacific,1931
Drepanophora birbira,Asia and the Pacific,1999
Drepanosiphum oregonensis,Americas,1914
Drepanosiphum platanoidis,Americas,1908
Drepanosiphum platanoidis,Asia and the Pacific,1948
Drepanothrix dentata,Europe and Central Asia,1977
Drepanotrema kermatoides,Americas,1949
Drimiopsis maculata,Asia and the Pacific,1995
Drimys aromatica,Asia and the Pacific,1920
Drobacia banatica,Europe and Central Asia,1965
Dromaius novaehollandiae,Asia and the Pacific,1868
Dromius meridionalis,Asia and the Pacific,1975
Drosanthemum candens,Asia and the Pacific,1891
Drosanthemum floribundum,Americas,1909
Drosanthemum floribundum,Asia and the Pacific,1954
Drosanthemum floribundum,Europe and Central Asia,1892
Drosera aliciae,Americas,1997
Drosera capensis,Americas,1997
Drosera capensis,Europe and Central Asia,2004
Drosophila ananassae,Americas,1977
Drosophila busckii,Asia and the Pacific,1931
Drosophila busckii,Europe and Central Asia,1900
Drosophila carbonaria,Americas,1995
Drosophila carinata,Americas,1892
Drosophila curvispina,Europe and Central Asia,2002
Drosophila funebris,Asia and the Pacific,1921
Drosophila hydei,Americas,1977
Drosophila hydei,Asia and the Pacific,1943
Drosophila hydei,Europe and Central Asia,1900
Drosophila immigrans,Americas,1925
Drosophila immigrans,Asia and the Pacific,1931
Drosophila immigrans,Europe and Central Asia,1900
Drosophila lutzii,Americas,1979
Drosophila malerkotliana,Americas,1976
Drosophila melanogaster,Americas,1977
Drosophila melanogaster,Asia and the Pacific,1943
Drosophila melanogaster,Europe and Central Asia,1900
Drosophila metzii,Americas,1977
Drosophila nasutoides,Americas,2008
Drosophila nebulosa,Americas,1948
Drosophila repleta,Americas,1977
Drosophila repleta,Asia and the Pacific,1943
Drosophila repleta,Europe and Central Asia,1900
Drosophila suzukii,Americas,1980
Drosophila suzukii,Europe and Central Asia,1995
Drosophila willistoni,Americas,1977
Dryinus koebelei,Asia and the Pacific,2004
Drymaplaneta heydeniana,Asia and the Pacific,1972
Drymaplaneta semivitta,Asia and the Pacific,1950
Drymaria cordata,Africa,1884
Drymaria cordata,Americas,1883
Drymaria cordata,Asia and the Pacific,1921
Drymocallis rupestris,Europe and Central Asia,1807
Drymonema dalmatinum,Americas,1987
Dryocoetes himalayensis,Europe and Central Asia,1975
Dryocosmus kuriphilus,Americas,1974
Dryocosmus kuriphilus,Asia and the Pacific,1941
Dryocosmus kuriphilus,Europe and Central Asia,2002
Dryophytes cinereus,Americas,1930
Dryophytes japonicus,Asia and the Pacific,1994
Dryopteris affinis,Asia and the Pacific,1980
Dryopteris atrata,Asia and the Pacific,2000
Dryopteris australis,Americas,1927
Dryopteris cristata,Europe and Central Asia,1859
Dryopteris cycadina,Asia and the Pacific,2003
Dryopteris cycadina,Europe and Central Asia,2015
Dryopteris dilatata,Americas,1909
Dryopteris dilatata,Asia and the Pacific,1958
Dryopteris erythrosora,Europe and Central Asia,2019
Dryopteris filix-mas,Americas,1911
Dryopteris filix-mas,Asia and the Pacific,1958
Dryopteris inaequalis,Asia and the Pacific,2003
Dryopteris ludoviciana,Americas,1982
Dryopteris oreades,Europe and Central Asia,2017
Dryoxylon onoharaense,Americas,1977
Duchesnea indica var. indica,Americas,1960
Duchesnia indica,Asia and the Pacific,1962
Dufouriellus ater,Americas,1971
Dulichium arundinaceum,Americas,1993
Dumbletoniella eucalypti,Asia and the Pacific,1950
Dumortiera hirsuta,Americas,2002
Dunaliella salina,Asia and the Pacific,1986
Duplachionaspis divergens,Americas,2002
Duplaspidiotus claviger,Americas,1962
Duplaspidiotus claviger,Asia and the Pacific,1937
Duponchelia fovealis,Europe and Central Asia,1996
Duranta erecta,Africa,1858
Duranta erecta,Asia and the Pacific,1843
Dusicyon griseus,Americas,1930
Dussumieria elopsoides,Africa,1970
Dussumieria elopsoides,Asia and the Pacific,1962
Dussumieria elopsoides,Europe and Central Asia,1949
Duta tenuicornis,Europe and Central Asia,1989
Duttaphrynus melanostictus,Asia and the Pacific,1991
Duvaucelia plebeia,Europe and Central Asia,1984
Dyctina civica,Europe and Central Asia,2008
Dynamena quadridentata,Asia and the Pacific,1999
Dynamene bidentata,Africa,2006
Dynaspidiotus britannicus,Americas,1898
Dynaspidiotus britannicus,Europe and Central Asia,1905
Dynaspidiotus degeneratus,Americas,1931
Dynaspidiotus regnieri,Europe and Central Asia,1983
Dynaspidiotus tsugae,Americas,1900
Dynoides dentisinus,Americas,1977
Dypsis lutescens,Americas,1925
Dypsis lutescens,Asia and the Pacific,2006
Dysaphis apiifolia,Americas,1934
Dysaphis apiifolia,Asia and the Pacific,1968
Dysaphis aucupariae,Asia and the Pacific,1981
Dysaphis crataegi,Americas,1915
Dysaphis foeniculus,Americas,1942
Dysaphis foeniculus,Asia and the Pacific,1922
Dysaphis plantaginea,Americas,1890
Dysaphis pyri,Americas,1978
Dysaphis radicola,Americas,1894
Dysaphis tulipae,Americas,1903
Dysaphis tulipae,Asia and the Pacific,1923
Dysaphis tulipae,Europe and Central Asia,1956
Dysaulacorthum primulae,Europe and Central Asia,1941
Dyschoriste nagchana,Asia and the Pacific,2000
Dysdera crocata,Africa,1977
Dysdera crocata,Americas,1973
Dysdera crocata,Asia and the Pacific,2008
Dysdera crocata,Europe and Central Asia,2002
Dysdercus concinnus,Americas,1925
Dysdercus lunulatus,Americas,1964
Dysidea avara,Americas,1948
Dysidea avara,Asia and the Pacific,1889
Dysidea fragilis,Asia and the Pacific,1889
Dysmicoccus boninsis,Americas,1895
Dysmicoccus boninsis,Europe and Central Asia,1938
Dysmicoccus brevipes,Americas,1880
Dysmicoccus brevipes,Asia and the Pacific,1921
Dysmicoccus brevipes,Europe and Central Asia,1933
Dysmicoccus grassii,Americas,1966
Dysmicoccus grassii,Europe and Central Asia,1913
Dysmicoccus mackenziei,Europe and Central Asia,1989
Dysmicoccus neobrevipes,Asia and the Pacific,1998
Dysmicoccus neobrevipes,Europe and Central Asia,1983
Dysmicoccus wistariae,Americas,1915
Dysoxylum fraserianum,Asia and the Pacific,2004
Dyspanopeus sayi,Europe and Central Asia,1953
Dyspersa apicalis,Europe and Central Asia,1900
Dysphania ambrosioides,Africa,1954
Dysphania ambrosioides,Americas,1877
Dysphania ambrosioides,Asia and the Pacific,1783
Dysphania ambrosioides,Europe and Central Asia,1642
Dysphania anthelmintica,Americas,1927
Dysphania anthelmintica,Europe and Central Asia,1829
Dysphania aristata,Europe and Central Asia,1941
Dysphania botrys,Americas,1875
Dysphania botrys,Europe and Central Asia,1613
Dysphania carinata,Africa,1939
Dysphania carinata,Americas,1922
Dysphania chilensis,Americas,1915
Dysphania glomulifera,Europe and Central Asia,1882
Dysphania multifida,Americas,1865
Dysphania multifida,Europe and Central Asia,1788
Dysphania pseudomultiflora,Europe and Central Asia,1887
Dysphania pumilio,Americas,1882
Dysphania pumilio,Asia and the Pacific,1834
Dysphania pumilio,Europe and Central Asia,1886
Dysphania schraderiana,Africa,1957
Dysphania schraderiana,Europe and Central Asia,1850
Dyssodia papposa,Americas,2009
Earias roseifera,Europe and Central Asia,2016
Earias vittella,Europe and Central Asia,2003
East Asian Passiflora virus,Asia and the Pacific,1980
