Taxon,Region,FirstRecord
Acacia mangium,Asia and the Pacific,2006
Acacia mearnsii,Africa,1858
Acacia mearnsii,Americas,1910
Acacia mearnsii,Asia and the Pacific,1898
Acacia mearnsii,Europe and Central Asia,1968
Acacia melanoxylon,Africa,1803
Acacia melanoxylon,Americas,1800
Acacia melanoxylon,Asia and the Pacific,1918
Acacia melanoxylon,Europe and Central Asia,1809
Acacia mollifolia,Asia and the Pacific,2002
Acacia murrayana,Asia and the Pacific,1916
Acacia neriifolia,Asia and the Pacific,2003
Acacia nilotica,Americas,1963
Acacia nilotica,Asia and the Pacific,1845
Acacia obtusata,Asia and the Pacific,1920
Acacia omalophylla,Asia and the Pacific,1920
Acacia oxycedrus,Asia and the Pacific,1920
Acacia paniculata,Asia and the Pacific,1843
Acacia paradoxa,Africa,1858
Acacia paradoxa,Americas,1956
Acacia paradoxa,Asia and the Pacific,1878
Acacia parramattensis,Asia and the Pacific,1950
Acacia penninervis,Asia and the Pacific,1920
Acacia podalyriifolia,Africa,1942
Acacia podalyriifolia,Asia and the Pacific,1912
Acacia pravissima,Asia and the Pacific,1975
Acacia prominens,Asia and the Pacific,1912
Acacia provincialis,Asia and the Pacific,1990
Acacia provincialis,Europe and Central Asia,1862
Acacia pycnantha,Africa,1892
Acacia pycnantha,Asia and the Pacific,1907
Acacia pycnantha,Europe and Central Asia,1865
Acacia redolens,Americas,1980
Acacia retinodes,Europe and Central Asia,1952
Acacia rostellifera,Asia and the Pacific,2004
Acacia rubida,Asia and the Pacific,1843
Acacia salicina,Asia and the Pacific,1998
Acacia saligna,Africa,1833
Acacia saligna,Americas,1905
Acacia saligna,Asia and the Pacific,1860
Acacia saligna,Europe and Central Asia,1688
Acacia schinoides,Asia and the Pacific,1922
Acacia semicircinalis,Asia and the Pacific,1976
Acacia simsii,Asia and the Pacific,1994
Acacia sophorae,Asia and the Pacific,1986
Acacia spectabilis,Asia and the Pacific,1912
Acacia stenophylla,Asia and the Pacific,1975
Acacia stricta,Asia and the Pacific,1920
Acacia suaveolens,Asia and the Pacific,1843
Acacia terminalis,Asia and the Pacific,1975
Acacia tortuosa,Americas,1934
Acacia trineura,Asia and the Pacific,1975
Acacia uncifolia,Asia and the Pacific,1898
Acacia verticillata,Asia and the Pacific,1945
Acacia verticillata,Europe and Central Asia,1862
Acacia vestita,Asia and the Pacific,1975
Acacia victoriae,Asia and the Pacific,1989
Acacia viscidula,Asia and the Pacific,1997
Acacia williamsonii,Asia and the Pacific,1970
Acaciella angustissima,Asia and the Pacific,1988
Acaciella glauca,Asia and the Pacific,1957
Acaciella villosa,Asia and the Pacific,1998
Acaena agnipila,Asia and the Pacific,1870
Acaena anserinifolia,Europe and Central Asia,1914
Acaena argentea,Americas,1896
Acaena caesiglauca,Europe and Central Asia,1827
Acaena echinata,Asia and the Pacific,1995
Acaena inermis,Europe and Central Asia,1968
Acaena microphylla,Europe and Central Asia,1997
