Taxon,Region,FirstRecord
Carduus acanthoides,Asia and the Pacific,1896
Carduus nutans,Americas,1853
Carduus nutans,Asia and the Pacific,1898
Carduus pycnocephalus,Americas,1929
Carduus tenuiflorus,Americas,1877
Carex acutiformis,Americas,1987
Carex divulsa,Asia and the Pacific,1918
Carex flacca,Asia and the Pacific,1883
Carex kobomugi,Americas,2008
Carex longibrachiata,Asia and the Pacific,1902
Carex lurida,Asia and the Pacific,1945
Carex pendula,Americas,1956
Carex scoparia,Asia and the Pacific,1948
Carpobrotus acinaciformis,Europe and Central Asia,1713
Carpobrotus chilensis,Americas,1860
Carpobrotus edulis,Americas,1886
Carpobrotus edulis,Asia and the Pacific,1882
Carpobrotus edulis,Europe and Central Asia,1818
Carpomya vesuviana,Asia and the Pacific,2007
Carpophilus hemipterus,Europe and Central Asia,1983
Carthamus lanatus,Americas,1891
Carthamus lanatus,Asia and the Pacific,1931
Carthamus tinctorius,Americas,1903
Carulaspis juniperi,Americas,1903
Cassiopea andromeda,Europe and Central Asia,1903
Castor canadensis,Americas,1945
Castor canadensis,Europe and Central Asia,1936
Castor fiber,Europe and Central Asia,1935
Casuarina cunninghamiana,Africa,1903
Casuarina cunninghamiana,Americas,1944
Casuarina equisetifolia,Africa,1858
Casuarina equisetifolia,Americas,1865
Catharanthus roseus,Africa,1652
Catharanthus roseus,Americas,1933
Catharanthus roseus,Asia and the Pacific,1661
Caulerpa cylindracea,Africa,1985
Caulerpa cylindracea,Europe and Central Asia,1993
Caulerpa racemosa,Africa,1926
Caulerpa taxifolia,Africa,2000
Caulerpa taxifolia,Europe and Central Asia,1984
Caverelius saccharivorus,Asia and the Pacific,1914
Cecropia peltata,Africa,1910
Celleporaria brunnea,Europe and Central Asia,2011
Celtodoryx ciocalyptoides,Europe and Central Asia,1992
Cenchrus ciliaris,Americas,1917
Cenchrus clandestinus,Africa,1915
Cenchrus clandestinus,Americas,1908
Cenchrus clandestinus,Asia and the Pacific,1936
Cenchrus echinatus,Africa,1991
Cenchrus echinatus,Asia and the Pacific,1934
Cenchrus longisetus,Africa,1917
Cenchrus longisetus,Americas,1916
Cenchrus longispinus,Europe and Central Asia,1975
Cenchrus macrourus,Asia and the Pacific,1940
Cenchrus myosuroides,Americas,1925
Cenchrus polystachios,Americas,1991
Cenchrus polystachios,Asia and the Pacific,1930
Cenchrus purpureus,Africa,1930
Cenchrus purpureus,Americas,1910
Cenchrus setaceus,Africa,1936
Cenchrus setaceus,Americas,1906
Cenchrus setaceus,Asia and the Pacific,1975
Cenchrus setaceus,Europe and Central Asia,1952
Cenchrus spinifex,Americas,1939
Cenchrus spinifex,Asia and the Pacific,1945
Cenchrus spinifex,Europe and Central Asia,1927
Centaurea benedicta,Americas,1848
Centaurea calcitrapa,Americas,1887
Centaurea calcitrapa,Asia and the Pacific,1843
Centaurea cyanus,Americas,1880
Centaurea debeauxii,Americas,1935
Centaurea diffusa,Americas,1907
Centaurea diffusa,Europe and Central Asia,1855
Centaurea diluta,Americas,1909
Centaurea diluta,Europe and Central Asia,1995
Centaurea iberica,Americas,1923
Centaurea jacea,Americas,1884
Centaurea jacea,Europe and Central Asia,1913
Centaurea macrocephala,Americas,1918
Centaurea melitensis,Americas,1052
Centaurea montana,Americas,1914
Centaurea montana,Europe and Central Asia,1737
Centaurea nigra,Americas,1911
Centaurea nigrescens,Americas,1932
Centaurea scabiosa,Americas,1910
Centaurea solstitialis,Americas,1869
Centaurea stoebe,Americas,1910
Centaurea varnensis,Americas,1953
Centaurea virgata,Americas,1950
Centaurium erythraea,Americas,1903
Centella asiatica,Americas,1911
Centranthus ruber,Americas,1904
Cerastium arvense,Americas,1846
Cerastium fontanum,Americas,1832
Cerastium glomeratum,Americas,1743
Cerastium glomeratum,Asia and the Pacific,1913
Cerastium nemorale,Europe and Central Asia,2011
Cerastium tomentosum,Europe and Central Asia,1873
Ceratocephala orthoceras,Americas,1935
Ceratophyllum demersum,Asia and the Pacific,1969
Ceratophyllum submersum,Europe and Central Asia,1966
Cercopagis pengoi,Europe and Central Asia,1959
Cercopithecus mona,Africa,1475
Cereus jamacaru,Africa,1925
Cerithium scabridum,Africa,1883
Cerithium scabridum,Europe and Central Asia,1899
Cervus elaphus,Americas,1574
Cervus elaphus,Asia and the Pacific,1851
Cervus elaphus,Europe and Central Asia,1865
Cervus nippon,Asia and the Pacific,1905
Cervus nippon,Europe and Central Asia,1860
Cestrum aurantiacum,Asia and the Pacific,1948
Cestrum axillare,Africa,1892
Cestrum elegans,Asia and the Pacific,1944
Cestrum nocturnum,Americas,1935
Cestrum nocturnum,Asia and the Pacific,1962
Cestrum parqui,Asia and the Pacific,1908
Cestrum parqui,Europe and Central Asia,1795
Chaenorhinum minus,Americas,1981
Chaenorhinum minus,Europe and Central Asia,1803
Chaetophractus villosus,Americas,1982
Chama pacifica,Europe and Central Asia,1988
Chamaecyparis lawsoniana,Asia and the Pacific,1940
Chamberlinius hualienensis,Asia and the Pacific,1983
Channa argus,Americas,1970
Channa argus,Asia and the Pacific,1923
Channa asiatica,Asia and the Pacific,1960
Channa maculata,Africa,1978
Channa maculata,Americas,2001
Channa maculata,Asia and the Pacific,1906
Channa marulius,Americas,2000
Channa striata,Asia and the Pacific,1908
Charybdis hellerii,Africa,1933
Charybdis hellerii,Europe and Central Asia,1924
Charybdis japonica,Asia and the Pacific,1999
Charybdis longicollis,Europe and Central Asia,1954
Chasmanthe aethiopica,Europe and Central Asia,1796
Chasmanthe floribunda,Americas,1960
Chelicorophium chelicorne,Europe and Central Asia,1956
Chelicorophium curvispinum,Europe and Central Asia,1900
Chelicorophium maeoticum,Europe and Central Asia,1969
Chelicorophium mucronatum,Europe and Central Asia,1969
Chelicorophium nobile,Europe and Central Asia,1956
Chelicorophium robustum,Europe and Central Asia,1956
Chelydra serpentina,Asia and the Pacific,1962
Chenopodiastrum murale,Americas,1849
Chenopodium album,Africa,1922
Chenopodium album,Americas,1847
Chenopodium album,Asia and the Pacific,1886
Chenopodium ficifolium,Americas,1849
Chenopodium hircinum,Americas,1849
Chenopodium vulvaria,Americas,1925
Cherax quadricarinatus,Africa,1992
Cherax quadricarinatus,Americas,1993
Chionoecetes opilio,Europe and Central Asia,1925
Chloris gayana,Asia and the Pacific,1913
Chloris radiata,Americas,1930
Chloris virgata,Americas,1955
Chlorocebus aethiops,Americas,1699
Chlorocebus sabaeus,Americas,1627
Chondrilla juncea,Americas,1955
Chondrilla juncea,Asia and the Pacific,1979
Chorispora tenella,Americas,1923
Chorispora tenella,Europe and Central Asia,1993
Christella dentata,Americas,2012
Chromaphis juglandicola,Europe and Central Asia,1935
Chromolaena odorata,Africa,1858
Chromolaena odorata,Asia and the Pacific,1825
Chrysolina americana,Europe and Central Asia,1886
Chrysomphalus aonidum,Americas,1880
Chrysomphalus aonidum,Europe and Central Asia,1895
Chrysomya rufifacies,Americas,1991
Cichorium intybus,Americas,1848
Cichorium intybus,Europe and Central Asia,1777
Cinara cupressi,Africa,1986
Cinara cupressi,Americas,2003
Cinara cupressi,Europe and Central Asia,1980
Cinchona pubescens,Asia and the Pacific,1865
Cinnamomum camphora,Africa,1846
Cinnamomum camphora,Americas,1936
Cinnamomum camphora,Asia and the Pacific,1832
Ciona intestinalis,Americas,1854
Cirrhinus cirrhosus,Africa,1960
Cirrhinus cirrhosus,Asia and the Pacific,1984
Cirsium arvense,Americas,1881
Cirsium arvense,Asia and the Pacific,1878
Cirsium palustre,Americas,1908
Cirsium palustre,Asia and the Pacific,1911
Cirsium vulgare,Africa,1898
Cirsium vulgare,Americas,1832
Cirsium vulgare,Asia and the Pacific,1867
Citrostichus phyllocnistoides,Americas,2005
Citrus aurantium,Asia and the Pacific,1978
Cladanthus mixtus,Americas,1920
Cladius grandis,Americas,1887
Cladonema pacificum,Americas,1979
Clarias batrachus,Americas,1960
Clarias batrachus,Asia and the Pacific,1939
Clarias gariepinus,Americas,1986
Clarias gariepinus,Asia and the Pacific,1974
Clarias macrocephalus,Asia and the Pacific,1990
Clathrus archeri,Europe and Central Asia,1973
Claviceps purpurea,Europe and Central Asia,2001
Claytonia perfoliata,Europe and Central Asia,1867
Claytonia sibirica,Europe and Central Asia,1942
Clematis alpina,Europe and Central Asia,2001
Clematis flammula,Asia and the Pacific,1961
Clematis montana,Asia and the Pacific,1968
Clematis orientalis,Americas,1916
Clematis terniflora,Asia and the Pacific,1986
Clematis tibetana,Asia and the Pacific,1967
Clematis vitalba,Americas,1897
Clematis vitalba,Asia and the Pacific,1928
Clematis vitalba,Europe and Central Asia,1952
Clerodendrum chinense,Americas,1900
Clidemia hirta,Africa,1914
Clytia hummelincki,Europe and Central Asia,1996
Cobaea scandens,Asia and the Pacific,1945
Coccinella septempunctata,Americas,1979
Codium fragile,Africa,1985
Codium fragile,Americas,1989
Codium fragile,Europe and Central Asia,1895
Coix lacryma-jobi,Americas,1896
Coleophora laricella,Americas,1886
Coleophora serratella,Americas,1885
Colinus virginianus,Asia and the Pacific,1982
Collomia biflora,Asia and the Pacific,1878
Colocasia esculenta,Americas,1910
Colpomenia peregrina,Europe and Central Asia,1921
Columba livia,Africa,1975
Columba livia,Americas,1972
Columba livia,Asia and the Pacific,1350
Columba livia,Europe and Central Asia,1996
Colutea arborescens,Americas,1943
Colutea arborescens,Europe and Central Asia,1819
Commelina benghalensis,Americas,1947
Commelina communis,Europe and Central Asia,1703
Conicosia pugioniformis,Americas,1841
Conium maculatum,Americas,1822
Conium maculatum,Asia and the Pacific,1871
Conium maculatum,Europe and Central Asia,1935
Conomurex persicus,Europe and Central Asia,1983
Conringia orientalis,Americas,1906
Contarinia baeri,Americas,1953
Contarinia nasturtii,Americas,2004
Contarinia pisi,Europe and Central Asia,1910
Contarinia quinquenotata,Americas,2007
Convallaria majalis,Americas,1813
Convoluta convoluta,Americas,1999
Convolvulus arvensis,Americas,1820
Convolvulus arvensis,Asia and the Pacific,1879
Conyza bonariensis,Americas,1902
Coptodon rendalli,Africa,1951
Coptodon rendalli,Americas,1974
Coptodon zillii,Africa,1955
Coptodon zillii,Americas,1945
Coptodon zillii,Europe and Central Asia,1978
Coptotermes formosanus,Americas,1957
Coptotermes formosanus,Asia and the Pacific,1600
Coptotermes gestroi,Americas,1996
Corambe obscura,Europe and Central Asia,1986
Corbicula fluminalis,Europe and Central Asia,1980
Corbicula fluminea,Americas,1900
Corbicula fluminea,Asia and the Pacific,1986
Corbicula fluminea,Europe and Central Asia,1977
Corbicula largillierti,Americas,1970
Corchorus aestuans,Asia and the Pacific,1845
Cordyline australis,Americas,1938
Cordylophora caspia,Europe and Central Asia,1800
Coregonus albula,Europe and Central Asia,1951
Coregonus clupeaformis,Americas,1886
Coregonus peled,Europe and Central Asia,1954
Corella eumyota,Europe and Central Asia,2002
Coreopsis lanceolata,Africa,1962
Coreopsis lanceolata,Asia and the Pacific,1883
Coreopsis tinctoria,Asia and the Pacific,1900
Corispermum marschallii,Europe and Central Asia,1762
Corispermum pallasii,Europe and Central Asia,1940
Cornu aspersum,Americas,1500
Cornu aspersum,Europe and Central Asia,1890
Cornus alba,Europe and Central Asia,1869
Cornus capitata,Asia and the Pacific,1916
Cornus sericea,Europe and Central Asia,1838
Coronilla varia,Americas,1866
Coronilla varia,Europe and Central Asia,1895
Cortaderia jubata,Africa,1958
Cortaderia jubata,Americas,1946
Cortaderia jubata,Asia and the Pacific,1950
Cortaderia selloana,Africa,1955
Cortaderia selloana,Americas,1800
Cortaderia selloana,Asia and the Pacific,1925
Cortaderia selloana,Europe and Central Asia,1850
Corvus splendens,Africa,1610
Corvus splendens,Asia and the Pacific,1790
Corvus splendens,Europe and Central Asia,1975
Corydalis nobilis,Europe and Central Asia,1705
Corydalis solida,Europe and Central Asia,1857
Corylus avellana,Americas,1837
Corythucha arcuata,Europe and Central Asia,2000
Corythucha ciliata,Asia and the Pacific,2002
Corythucha ciliata,Europe and Central Asia,1972
Coscinodiscus wailesii,Europe and Central Asia,1978
Cosmos bipinnatus,Americas,1894
Cosmos bipinnatus,Asia and the Pacific,1911
Cosmos sulphureus,Asia and the Pacific,1938
Cota tinctoria,Americas,1885
Cotoneaster ascendens,Europe and Central Asia,1959
Cotoneaster bullatus,Europe and Central Asia,1938
Cotoneaster dielsianus,Europe and Central Asia,1929
Cotoneaster divaricatus,Europe and Central Asia,1929
Cotoneaster franchetii,Africa,1937
Cotoneaster franchetii,Americas,1914
Cotoneaster franchetii,Asia and the Pacific,1946
Cotoneaster glaucophyllus,Asia and the Pacific,1965
Cotoneaster horizontalis,Asia and the Pacific,1984
Cotoneaster horizontalis,Europe and Central Asia,1940
Cotoneaster integrifolius,Europe and Central Asia,1895
Cotoneaster lacteus,Asia and the Pacific,1981
Cotoneaster lucidus,Europe and Central Asia,1797
Cotoneaster microphyllus,Asia and the Pacific,1915
Cotoneaster multiflorus,Europe and Central Asia,1978
Cotoneaster pannosus,Africa,1931
Cotoneaster pannosus,Americas,1946
Cotoneaster simonsii,Americas,1942
Cotoneaster simonsii,Asia and the Pacific,1950
Cotoneaster simonsii,Europe and Central Asia,1910
Cotula australis,Americas,1868
Cotula coronopifolia,Americas,1862
Cotula coronopifolia,Europe and Central Asia,1700
Coturnix japonica,Europe and Central Asia,1950
Cotyledon orbiculata,Asia and the Pacific,1952
Crangonyx floridanus,Asia and the Pacific,1989
Crangonyx pseudogracilis,Europe and Central Asia,1933
Craspedacusta sowerbii,Europe and Central Asia,1995
Crassocephalum crepidioides,Asia and the Pacific,1930
Crassocephalum crepidioides,Europe and Central Asia,1980
Crassocephalum rubens,Asia and the Pacific,2008
Crassula helmsii,Europe and Central Asia,1956
Crassula multicava,Asia and the Pacific,1957
Crataegus laevigata,Europe and Central Asia,1827
Crataegus monogyna,Americas,1901
Crataegus monogyna,Asia and the Pacific,1898
Crepidula fornicata,Europe and Central Asia,1872
Crepidula onyx,Asia and the Pacific,1968
Crepis capillaris,Americas,1873
Crepis capillaris,Europe and Central Asia,1662
Crepis tectorum,Americas,1915
Crocidura dsinezumi,Asia and the Pacific,1956
Crocidura russula,Europe and Central Asia,2001
Crocosmia crocosmiiflora,Americas,1983
Crocosmia crocosmiiflora,Asia and the Pacific,1929
Crocus vernus,Europe and Central Asia,1860
Cronartium ribicola,Americas,1900
Cronquistianthus bulliferus,Asia and the Pacific,1896
Crotalaria retusa,Americas,1939
Croton bonplandianus,Asia and the Pacific,1897
Cruciata pedemontana,Americas,1973
Crupina vulgaris,Americas,1969
Cryphonectria parasitica,Americas,1876
Cryptococcus fagisuga,Americas,1890
Cryptodiaporthe populea,Americas,1915
Cryptorhynchus lapathi,Americas,1882
Cryptorhynchus lapathi,Asia and the Pacific,1953
Cryptostegia grandiflora,Americas,1915
Cryptostegia grandiflora,Asia and the Pacific,1875
Cryptotermes brevis,Africa,1936
Cryptotermes brevis,Americas,1932
Ctenarytaina eucalypti,Americas,1991
Ctenarytaina eucalypti,Europe and Central Asia,1925
Ctenopharyngodon idella,Americas,1965
Ctenopharyngodon idella,Asia and the Pacific,1878
Ctenopharyngodon idella,Europe and Central Asia,1959
Ctenosaura similis,Americas,1970
Cucumis dipsaceus,Americas,1899
Cumanotus beaumonti,Americas,1967
Cuniculus paca,Americas,1930
Cupaniopsis anacardioides,Americas,1950
Cuphea carthagenensis,Asia and the Pacific,20
Cupressus lusitanica,Africa,1900
Cupressus macrocarpa,Asia and the Pacific,1903
Cuscuta approximata,Americas,1892
Cuscuta japonica,Americas,2004
Cuscuta pentagona,Africa,1894
Cuscuta pentagona,Asia and the Pacific,1970
Cuscuta pentagona,Europe and Central Asia,1824
Cuscuta scandens,Europe and Central Asia,1935
Cyclachaena xanthiifolia,Europe and Central Asia,1997
Cyclamen hederifolium,Americas,2011
Cycloloma atriplicifolium,Europe and Central Asia,1829
Cyclops strenuus,Americas,1972
Cyclospermum leptophyllum,Asia and the Pacific,1900
Cydalima perspectalis,Europe and Central Asia,2007
Cydia pomonella,Asia and the Pacific,1953
Cygnus olor,Americas,1890
Cygnus olor,Asia and the Pacific,1977
Cygnus olor,Europe and Central Asia,1959
Cylas formicarius,Asia and the Pacific,1903
Cylindropuntia fulgida,Africa,1973
Cylindropuntia fulgida,Asia and the Pacific,1995
Cylindropuntia kleiniae,Asia and the Pacific,2000
Cylindropuntia prolifera,Asia and the Pacific,1993
Cylindropuntia spinosior,Asia and the Pacific,2000
Cylindropuntia tunicata,Asia and the Pacific,1973
Cymbalaria muralis,Americas,1916
Cynara cardunculus,Americas,1750
Cynodon dactylon,Americas,1854
Cynodon dactylon,Asia and the Pacific,1846
Cynoglossum amabile,Americas,1938
Cynoglossum officinale,Americas,1743
Cynosurus echinatus,Americas,1912
Cyperus congestus,Asia and the Pacific,1982
Cyperus difformis,Americas,1915
Cyperus entrerianus,Americas,1974
Cyperus eragrostis,Asia and the Pacific,1870
Cyperus esculentus,Asia and the Pacific,1953
Cyperus esculentus,Europe and Central Asia,1975
Cyperus glomeratus,Europe and Central Asia,1719
Cyperus microiria,Europe and Central Asia,1908
Cyperus odoratus,Europe and Central Asia,2006
Cyperus papyrus,Americas,1947
Cyperus prolifer,Americas,1995
Cyperus rotundus,Americas,1600
Cyperus rotundus,Asia and the Pacific,25
Cyperus strigosus,Europe and Central Asia,1896
Cyprinus carpio,Africa,1860
Cyprinus carpio,Americas,1850
Cyprinus carpio,Asia and the Pacific,1872
Cyprinus carpio,Europe and Central Asia,1560
Cyrtepistomus castaneus,Americas,1933
Cyrtomium falcatum,Americas,1907
Cyrtopodion scabrum,Europe and Central Asia,1981
Cystobranchus fasciatus,Europe and Central Asia,1974
Cytisus multiflorus,Americas,1919
Cytisus multiflorus,Asia and the Pacific,1898
Cytisus scoparius,Americas,1847
Cytisus scoparius,Asia and the Pacific,1670
Cytisus scoparius,Europe and Central Asia,1819
Cytisus striatus,Americas,1978
Dactylis glomerata,Americas,1760
Dactylis glomerata,Asia and the Pacific,1863
Dactyloctenium aegyptium,Americas,1864
Dama dama,Americas,1887
Dama dama,Asia and the Pacific,1832
Dama dama,Europe and Central Asia,-100
Danio rerio,Americas,1971
Daphne laureola,Americas,1994
Daphne laureola,Asia and the Pacific,1957
Daphne mezereum,Americas,1818
Daphnia parvula,Europe and Central Asia,2002
Dasya baillouviana,Europe and Central Asia,1942
Dasyphila preissii,Europe and Central Asia,1966
Dasyprocta mexicana,Americas,1930
Dasyprocta punctata,Americas,1930
Dasysiphonia japonica,Europe and Central Asia,1840
Datura ferox,Africa,1908
Datura innoxia,Africa,1957
Datura innoxia,Asia and the Pacific,1832
Datura innoxia,Europe and Central Asia,1551
Datura stramonium,Africa,1724
Datura stramonium,Americas,1874
Datura stramonium,Asia and the Pacific,1405
Datura stramonium,Europe and Central Asia,1585
Daucus carota,Americas,1743
Daucus carota,Asia and the Pacific,1406
Delairea odorata,Americas,1892
Delairea odorata,Asia and the Pacific,1870
Delphinium orientale,Europe and Central Asia,1913
Delta pyriforme,Asia and the Pacific,1990
Dendroctonus valens,Asia and the Pacific,1980
Deparia petersenii,Americas,1957
Deraeocoris lutescens,Europe and Central Asia,1983
Deroceras laeve,Americas,1945
Deroceras panormitanum,Europe and Central Asia,1923
Descurainia sophia,Americas,1896
Diadumene lineata,Americas,2005
Dianthus armeria,Americas,1813
Dianthus barbatus,Americas,1922
Dianthus barbatus,Europe and Central Asia,1958
Dianthus deltoides,Americas,1837
Diaphorina citri,Americas,2001
Diaspidiotus perniciosus,Americas,1870
Diaspidiotus perniciosus,Europe and Central Asia,1933
Dichondra micrantha,Africa,1945
Didemnum vexillum,Americas,2013
Didemnum vexillum,Europe and Central Asia,1998
Digera muricata,Asia and the Pacific,1832
Digitalis purpurea,Americas,1892
Digitalis purpurea,Asia and the Pacific,1867
Digitaria eriantha,Americas,1938
Digitaria ischaemum,Americas,1898
Digitaria sanguinalis,Americas,1866
Digitaria velutina,Americas,1938
Dikerogammarus haemobaphes,Europe and Central Asia,1955
Dikerogammarus villosus,Europe and Central Asia,1955
Dinophysis acuminata,Africa,1991
Dioscorea bulbifera,Americas,1905
Diplosoma listerianum,Americas,2008
Diplotaxis muralis,Europe and Central Asia,1852
Diplotaxis tenuifolia,Europe and Central Asia,1887
Dipogon lignosus,Asia and the Pacific,1870
Diprion similis,Americas,1914
Dipsacus laciniatus,Americas,1930
Dipsacus laciniatus,Europe and Central Asia,1959
Dipsacus sativus,Americas,1875
Discoglossus pictus,Europe and Central Asia,1809
Discula destructiva,Americas,1975
Disphyma crassifolium,Europe and Central Asia,1936
Distaplia bermudensis,Europe and Central Asia,2000
Dittrichia graveolens,Americas,1984
Dittrichia viscosa,Americas,1913
Dodonaea viscosa,Europe and Central Asia,1901
Dolichandra unguis-cati,Africa,1927
Dolichandra unguis-cati,Asia and the Pacific,1840
Doronicum macrophyllum,Europe and Central Asia,1965
Doronicum orientale,Europe and Central Asia,1732
Dorvillea similis,Europe and Central Asia,2005
Draba verna,Americas,1902
Dreissena polymorpha,Americas,1619
Dreissena polymorpha,Europe and Central Asia,1794
Dreissena rostriformis,Americas,1998
Dreissena rostriformis,Europe and Central Asia,1941
Drosophila suzukii,Americas,2008
Drosophila suzukii,Europe and Central Asia,2008
Drymonema dalmatinum,Americas,1987
Dryocosmus kuriphilus,Americas,1974
Dryocosmus kuriphilus,Asia and the Pacific,1941
Dryocosmus kuriphilus,Europe and Central Asia,2002
Dryopteris filix-mas,Asia and the Pacific,1958
Duranta erecta,Africa,1858
Duranta erecta,Asia and the Pacific,1845
Dynaspidiotus tsugae,Americas,1900
Dysmicoccus brevipes,Asia and the Pacific,1921
Dysmicoccus neobrevipes,Asia and the Pacific,1998
Dyspanopeus sayi,Europe and Central Asia,1953
Dysphania ambrosioides,Americas,1877
Dysphania ambrosioides,Europe and Central Asia,1642
Dysphania multifida,Americas,1895
Dysphania pumilio,Americas,1882
Dysphania pumilio,Asia and the Pacific,1933
Dysphania pumilio,Europe and Central Asia,2005
Eccremocarpus scaber,Asia and the Pacific,1940
Echinochloa colona,Africa,1933
Echinochloa colona,Americas,1875
Echinochloa crus-galli,Americas,1875
Echinochloa crus-galli,Europe and Central Asia,1839
Echinocystis lobata,Europe and Central Asia,1911
Echinogammarus ischnus,Europe and Central Asia,1955
Echinogammarus trichiatus,Europe and Central Asia,1998
Echinogammarus warpachowskyi,Europe and Central Asia,1953
Echinops sphaerocephalus,Europe and Central Asia,1871
Echium candicans,Americas,1969
Echium plantagineum,Africa,1858
Echium plantagineum,Americas,1911
Echium vulgare,Africa,1913
Echium vulgare,Americas,1862
Echium vulgare,Asia and the Pacific,1869
Echium vulgare,Europe and Central Asia,1895
Eclipta prostrata,Americas,1848
Eclipta prostrata,Asia and the Pacific,1824
Egeria densa,Africa,1966
Egeria densa,Americas,1913
Egeria densa,Asia and the Pacific,1914
Egeria densa,Europe and Central Asia,1919
Ehrharta calycina,Americas,1940
Ehrharta erecta,Americas,1941
Ehrharta erecta,Asia and the Pacific,1944
Ehrharta longiflora,Americas,1992
Ehrharta villosa,Asia and the Pacific,1969
Eichhornia crassipes,Africa,1884
Eichhornia crassipes,Americas,1893
Eichhornia crassipes,Asia and the Pacific,1891
Eichhornia crassipes,Europe and Central Asia,1936
Eisenia fetida,Americas,1983
Elaeagnus angustifolia,Americas,1894
Elaeagnus angustifolia,Europe and Central Asia,1891
Elaeagnus commutata,Europe and Central Asia,1882
Elaeagnus reflexa,Asia and the Pacific,1940
Elaphe climacophora,Asia and the Pacific,1984
Elaphe taeniura,Asia and the Pacific,1958
Elatobium abietinum,Americas,1900
Eleusine indica,Americas,1865
Eleusine indica,Europe and Central Asia,1772
Eleusine tristachya,Americas,1968
Eleutherodactylus johnstonei,Americas,1890
Eleutherodactylus planirostris,Americas,1863
Elodea callitrichoides,Europe and Central Asia,1959
Elodea canadensis,Asia and the Pacific,1871
Elodea canadensis,Europe and Central Asia,1840
Elodea nuttallii,Asia and the Pacific,1931
Elodea nuttallii,Europe and Central Asia,1941
Elsholtzia ciliata,Europe and Central Asia,1902
Elymus repens,Americas,1650
Elymus sibiricus,Americas,1967
Embothrium coccineum,Asia and the Pacific,1986
Emex spinosa,Americas,1881
Emilia fosbergii,Americas,1980
Emilia sonchifolia,Americas,1941
Emys orbicularis,Europe and Central Asia,1905
Enarmonia formosana,Americas,1991
Enchelycore anatina,Europe and Central Asia,2002
Ensis leei,Europe and Central Asia,1979
Enteromius anoplus,Africa,1974
Eocyzicus orientalis,Europe and Central Asia,1981
Epilachna varivestis,Asia and the Pacific,1994
Epilobium brunnescens,Europe and Central Asia,1933
Epilobium ciliatum,Asia and the Pacific,1896
Epilobium ciliatum,Europe and Central Asia,1850
Epilobium ciliatum ciliatum,Europe and Central Asia,1869
Epilobium hirsutum,Americas,1743
Epilobium pseudorubescens,Europe and Central Asia,1781
Epinotia nanana,Americas,1907
Epipactis helleborine,Americas,1879
Epitrix hirtipennis,Europe and Central Asia,1983
Equisetum arvense,Asia and the Pacific,1920
Equus asinus,Americas,1500
Equus asinus,Asia and the Pacific,1914
Equus caballus,Americas,1509
Equus caballus,Asia and the Pacific,1400
Eragrostis cilianensis,Americas,1866
Eragrostis curvula,Americas,1915
Eragrostis curvula,Asia and the Pacific,1959
Eragrostis lehmanniana,Americas,1943
Eragrostis pectinacea,Europe and Central Asia,1834
Eranthis hyemalis,Europe and Central Asia,1903
Ercolania viridis,Europe and Central Asia,2001
Erechtites glomerata,Americas,1919
Erechtites valerianifolius,Asia and the Pacific,1964
Erica arborea,Asia and the Pacific,1934
Erica baccans,Asia and the Pacific,1935
Erica caffra,Asia and the Pacific,1940
Erica cinerea,Asia and the Pacific,1940
Erica lusitanica,Americas,1912
Erica lusitanica,Asia and the Pacific,1910
Erica vagans,Asia and the Pacific,1953
Erigeron annuus,Asia and the Pacific,1865
Erigeron annuus,Europe and Central Asia,1791
Erigeron bonariensis,Asia and the Pacific,1906
Erigeron bonariensis,Europe and Central Asia,1772
Erigeron canadensis,Africa,1903
Erigeron canadensis,Asia and the Pacific,1860
Erigeron canadensis,Europe and Central Asia,1644
Erigeron karvinskianus,Africa,1967
Erigeron karvinskianus,Americas,1934
Erigeron karvinskianus,Asia and the Pacific,1940
Erigeron karvinskianus,Europe and Central Asia,1852
Erigeron philadelphicus,Asia and the Pacific,19
Erigeron philadelphicus philadelphicus,Asia and the Pacific,1921
Erigeron sumatrensis,Asia and the Pacific,1922
Erigeron sumatrensis,Europe and Central Asia,1910
Erinaceus europaeus,Asia and the Pacific,1869
Eriocheir sinensis,Americas,1994
Eriocheir sinensis,Europe and Central Asia,1912
Eriochloa villosa,Americas,2000
Eriococcus buxi,Europe and Central Asia,1959
Eriosoma lanigerum,Asia and the Pacific,1914
Eriosoma lanigerum,Europe and Central Asia,1900
Erodium cicutarium,Americas,943
Erodium malacoides,Americas,1970
Erucastrum gallicum,Americas,1922
Erucastrum gallicum,Europe and Central Asia,1933
Erugosquilla massavensis,Europe and Central Asia,1959
Erwinia amylovora,Europe and Central Asia,1989
Eryngium pandanifolium,Europe and Central Asia,1900
Erysimum cheiri,Americas,1964
Erysimum cheiri,Europe and Central Asia,1956
Erysiphe alphitoides,Europe and Central Asia,1908
Erythranthe lutea,Europe and Central Asia,1881
Erythrina sykesii,Asia and the Pacific,1938
Eschscholzia californica,Americas,1869
Esox lucius,Europe and Central Asia,1185
Estrilda astrild,Americas,1826
Etrumeus sadina,Europe and Central Asia,1961
Eucallipterus tiliae,Americas,1890
Eucalyptus camaldulensis,Africa,1890
Eucalyptus camaldulensis,Americas,1902
Eucalyptus camaldulensis,Europe and Central Asia,1890
Eucalyptus cladocalyx,Americas,1938
Eucalyptus conferruminata,Africa,1900
Eucalyptus delegatensis,Asia and the Pacific,1957
Eucalyptus diversicolor,Africa,1881
