Taxon,Region,FirstRecord
Aleurodicus rugioperculatus,Americas,2009
Aleuroglandulus subtilis,Americas,1921
Alexandrium minutum,Europe and Central Asia,1994
Alexandrium tamarense,Europe and Central Asia,1986
Aleyrodicus rugioperculatus,Americas,2009
Alhagi maurorum,Africa,1898
Alhagi maurorum,Americas,1915
Alliaria petiolata,Americas,1868
Allium paradoxum,Europe and Central Asia,1849
Allium roseum,Europe and Central Asia,1837
Allium triquetrum,Asia and the Pacific,1899
Allium vineale,Americas,1743
Alnus alnobetula,Asia and the Pacific,1987
Alnus alnobetula,Europe and Central Asia,2001
Alnus glutinosa,Americas,1877
Alnus glutinosa,Asia and the Pacific,1913
Alnus incana,Europe and Central Asia,1935
Alocasia brisbanensis,Asia and the Pacific,1867
Alopecurus arundinaceus,Americas,1935
Alopecurus geniculatus,Americas,1859
Alopecurus myosuroides,Americas,1914
Alopecurus pratensis,Americas,1813
Alopochen aegyptiaca,Europe and Central Asia,1650
Alosa pseudoharengus,Americas,1935
Alpheus edwardsii,Europe and Central Asia,1951
Alpheus inopinatus,Europe and Central Asia,1951
Alpheus rapacida,Europe and Central Asia,1960
Alphitobius diaperinus,Europe and Central Asia,1982
Alphitophagus bifasciatus,Europe and Central Asia,1976
Alternanthera philoxeroides,Americas,1893
Alternanthera philoxeroides,Asia and the Pacific,1892
Alternanthera pungens,Asia and the Pacific,1950
Alternanthera sessilis,Americas,1975
Alyssum alyssoides,Americas,1895
Amanita muscaria,Asia and the Pacific,1880
Amanita phalloides,Americas,1886
Amaranthus albus,Americas,1821
Amaranthus albus,Asia and the Pacific,1929
Amaranthus albus,Europe and Central Asia,1723
Amaranthus blitoides,Europe and Central Asia,1889
Amaranthus blitum,Asia and the Pacific,1897
Amaranthus blitum,Europe and Central Asia,1990
Amaranthus cruentus,Asia and the Pacific,1848
Amaranthus cruentus,Europe and Central Asia,1711
Amaranthus deflexus,Europe and Central Asia,1789
Amaranthus emarginatus,Europe and Central Asia,1998
Amaranthus hybridus,Americas,1849
Amaranthus hybridus,Asia and the Pacific,1848
Amaranthus hybridus,Europe and Central Asia,1824
Amaranthus muricatus,Europe and Central Asia,1967
Amaranthus palmeri,Asia and the Pacific,1984
Amaranthus paniculatus,Europe and Central Asia,1985
Amaranthus polygonoides,Asia and the Pacific,1979
Amaranthus powellii,Europe and Central Asia,1853
Amaranthus retroflexus,Americas,1849
Amaranthus retroflexus,Asia and the Pacific,1849
Amaranthus retroflexus,Europe and Central Asia,1532
Amaranthus spinosus,Africa,1931
Amaranthus spinosus,Asia and the Pacific,19
Amaranthus tuberculatus,Europe and Central Asia,1975
Amaranthus viridis,Africa,1942
Amaranthus viridis,Asia and the Pacific,1864
Amaranthus viridis,Europe and Central Asia,1886
Amatitlania nigrofasciata,Americas,2000
Ambigolimax valentianus,Asia and the Pacific,1951
Ambrosia artemisiifolia,Asia and the Pacific,1930
Ambrosia artemisiifolia,Europe and Central Asia,1772
Ambrosia psilostachya,Europe and Central Asia,1945
Ambrosia trifida,Asia and the Pacific,1930
Ambrosia trifida,Europe and Central Asia,1928
Ameiurus melas,Europe and Central Asia,1880
Ameiurus nebulosus,Americas,1908
Ameiurus nebulosus,Europe and Central Asia,1885
Amelanchier lamarckii,Europe and Central Asia,1870
Amelanchier spicata,Europe and Central Asia,1875
Ammannia coccinea,Americas,1983
Ammannia coccinea,Asia and the Pacific,1952
Ammannia coccinea,Europe and Central Asia,1957
Ammannia latifolia,Americas,1991
Ammi majus,Americas,1976
Ammophila arenaria,Americas,1896
Ammophila arenaria,Asia and the Pacific,1872
Amorpha fruticosa,Americas,1910
Amorpha fruticosa,Asia and the Pacific,1912
Amorpha fruticosa,Europe and Central Asia,1724
Amphiareus obscuriceps,Europe and Central Asia,2003
Amphibalanus amphitrite,Europe and Central Asia,1905
Amphibalanus improvisus,Asia and the Pacific,1940
Amphibalanus improvisus,Europe and Central Asia,1844
Amphibalanus reticulatus,Americas,1990
Anadara inaequivalvis,Europe and Central Asia,1982
Anadara transversa,Europe and Central Asia,1977
Anarsia lineatella,Americas,1629
Anas platyrhynchos,Americas,2004
Anastrepha obliqua,Americas,1933
Anathymus lineaticollis,Asia and the Pacific,1986
Anchusa azurea,Americas,1892
Anchusa officinalis,Americas,1920
Andrias davidianus,Asia and the Pacific,1972
Andropogon gayanus,Americas,1942
Andropogon gayanus,Asia and the Pacific,1956
Andropogon virginicus,Asia and the Pacific,1940
Andropogon virginicus,Europe and Central Asia,1885
Anethum graveolens,Americas,1934
Angelica pachycarpa,Asia and the Pacific,1968
Angelica sylvestris,Americas,1968
Angiopteris evecta,Americas,1965
Anguillicola crassus,Americas,1995
Anguillicola crassus,Europe and Central Asia,1980
Anguina agrostis,Asia and the Pacific,1987
Annona glabra,Asia and the Pacific,1843
Anoda cristata,Americas,1846
Anolis aeneus,Americas,1808
Anolis carolinensis,Asia and the Pacific,1965
Anolis cristatellus,Americas,1911
Anolis cybotes,Americas,1964
Anolis distichus,Americas,1946
Anolis garmani,Americas,1975
Anolis porcatus,Americas,1936
Anolis sagrei,Americas,1887
Anoplolepis gracilipes,Africa,1962
Anoplolepis gracilipes,Asia and the Pacific,1876
Anoplophora chinensis,Europe and Central Asia,1994
Anoplophora glabripennis,Americas,1996
Anoplophora glabripennis,Europe and Central Asia,2003
Anredera cordifolia,Africa,1894
Anredera cordifolia,Asia and the Pacific,1894
Anser anser,Americas,2001
Anthemis cotula,Americas,1862
Antheraea yamamai,Europe and Central Asia,1866
Anthonomus grandis,Americas,1949
Anthoxanthum odoratum,Americas,1860
Anthoxanthum odoratum,Asia and the Pacific,1891
Anthrenus caucasicus,Europe and Central Asia,1941
Anthriscus caucalis,Americas,1878
Anthriscus sylvestris,Americas,1904
Antigonon leptopus,Asia and the Pacific,1870
